                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.6236,                 1.1366,                 1.0344,                0.42911,                0.32003,                0.30522,                0.16704,                 1.4854,                0.99192,                0.94898,               0.007723,               0.007723,               0.007723
                     72,                  1.626,                  1.139,                 1.0354,                0.43531,                0.31814,                 0.3049,                0.16893,                 1.4811,                0.97861,                0.94585,                0.00769,                0.00769,                0.00769
                     73,                 1.6247,                 1.1368,                 1.0359,                0.43897,                 0.3112,                0.30458,                0.16618,                 1.5002,                0.98799,                0.94954,               0.007657,               0.007657,               0.007657
                     74,                 1.6206,                 1.1284,                 1.0331,                0.43122,                0.31705,                0.30571,                0.16847,                 1.4885,                0.97955,                0.94811,               0.007624,               0.007624,               0.007624
                     75,                 1.6146,                 1.1276,                 1.0321,                0.44348,                0.30697,                0.30443,                0.16905,                 1.4862,                0.97942,                0.94573,               0.007591,               0.007591,               0.007591
                     76,                 1.6103,                 1.1231,                 1.0329,                0.45097,                0.31074,                0.31198,                0.17359,                 1.4829,                0.97588,                0.94737,               0.007558,               0.007558,               0.007558
                     77,                 1.6242,                 1.1264,                 1.0317,                 0.4288,                 0.3169,                0.30917,                0.17054,                 1.4978,                0.97725,                0.94852,               0.007525,               0.007525,               0.007525
                     78,                 1.6212,                 1.1247,                 1.0326,                0.45073,                0.31848,                0.31694,                0.17644,                 1.4754,                0.96576,                0.94595,               0.007492,               0.007492,               0.007492
                     79,                 1.6108,                 1.1171,                 1.0316,                0.45062,                 0.3204,                0.31805,                0.17683,                 1.4753,                0.96397,                0.94558,               0.007459,               0.007459,               0.007459
                     80,                 1.6178,                 1.1243,                 1.0312,                0.45741,                0.32239,                0.32069,                0.18091,                 1.4715,                 0.9605,                 0.9452,               0.007426,               0.007426,               0.007426
                     81,                 1.6212,                 1.1306,                 1.0328,                0.44134,                0.31803,                0.31926,                0.17966,                 1.4751,                0.96317,                0.94581,               0.007393,               0.007393,               0.007393
                     82,                 1.6135,                 1.1185,                 1.0317,                0.44027,                0.32755,                0.32292,                0.18009,                 1.4742,                0.95748,                0.94601,                0.00736,                0.00736,                0.00736
                     83,                 1.6143,                 1.1187,                 1.0303,                0.45264,                0.32163,                0.32098,                0.17935,                  1.486,                0.95993,                0.94838,               0.007327,               0.007327,               0.007327
                     84,                 1.6135,                 1.1139,                 1.0277,                0.44696,                0.32471,                0.32391,                0.18167,                 1.4673,                0.95532,                0.94334,               0.007294,               0.007294,               0.007294
                     85,                 1.6194,                 1.1193,                 1.0313,                0.46523,                0.31859,                0.32671,                0.18413,                 1.4773,                 0.9599,                0.94524,               0.007261,               0.007261,               0.007261
                     86,                 1.6123,                 1.1171,                 1.0314,                0.47138,                0.32543,                0.32645,                0.18247,                 1.4729,                0.95351,                0.94387,               0.007228,               0.007228,               0.007228
                     87,                 1.6025,                 1.1017,                 1.0274,                0.46458,                0.32171,                0.32594,                0.18366,                 1.4702,                0.95261,                0.94349,               0.007195,               0.007195,               0.007195
                     88,                 1.6034,                 1.1084,                 1.0274,                0.45214,                 0.3321,                0.32921,                0.18562,                 1.4581,                0.94706,                0.94345,               0.007162,               0.007162,               0.007162
